time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
22-Aug-24,33,25.4,0,6
23-Aug-24,33,25.8,1,10.4
24-Aug-24,33.1,23.4,0.9,15.4
25-Aug-24,33,25.1,0.2,7.9
26-Aug-24,33.2,26.3,2.7,7.9
27-Aug-24,31.9,25.6,0.7,12.3
28-Aug-24,31,25.1,8.1,12.2
29-Aug-24,28.5,24.5,31.1,26.6
30-Aug-24,31.6,24.4,0.5,14.2
31-Aug-24,32.6,24.3,0,10.2
01-Sep-24,33.4,25.3,0,7.2
02-Sep-24,31.9,25,4,12.6
03-Sep-24,30,24.5,13.1,12
04-Sep-24,31.3,24.1,4.7,8.5
05-Sep-24,31,23.8,1.5,6.2
06-Sep-24,31.6,22.9,12.8,14
07-Sep-24,31,23.1,3.7,16.4
08-Sep-24,32.5,23.1,0,5.8
09-Sep-24,32.7,24.6,1,6
10-Sep-24,32,24.4,21.8,15.3
11-Sep-24,32.2,24.5,0.7,14.2
12-Sep-24,34.3,24.9,0,12.1
13-Sep-24,32.9,23.4,0,11.9
14-Sep-24,32.3,24.5,0.4,15.5
15-Sep-24,33,23.9,0,8
16-Sep-24,33.4,22.4,0,6.6
17-Sep-24,33.5,22.9,0,8
18-Sep-24,33,23.7,0.6,7.2
19-Sep-24,31.3,23.2,0.3,16.3
20-Sep-24,32.7,21.7,0,7.2
21-Sep-24,33.5,23.3,0,7.8
22-Sep-24,34.4,25.1,0,7.1
23-Sep-24,35.6,26.1,0,8.4
24-Sep-24,35.4,25.5,0,8.4
25-Sep-24,34,26.1,0.1,9.7
26-Sep-24,30.9,24.4,1.7,21.3
27-Sep-24,31.9,24.1,0,13
28-Sep-24,31.6,21.8,8.1,8.4
29-Sep-24,32,22.6,0,8.3
30-Sep-24,33.1,22.4,0,12
01-Oct-24,33.8,23.4,0,8.8
02-Oct-24,34.6,23.3,0,8.6
03-Oct-24,34.5,22.1,0,7
04-Oct-24,34.6,22.5,0,7.6
05-Oct-24,34.7,22.7,2.4,15.9
06-Oct-24,31.6,20.6,0,12.2
07-Oct-24,32.2,19.1,0,8.2
08-Oct-24,31.2,20.2,2.3,13.7
09-Oct-24,32,19.7,0,10.2
10-Oct-24,32,18.8,0,12
11-Oct-24,31.8,18.5,0,11.4
12-Oct-24,32.2,18.1,0,10.6
13-Oct-24,32,18.4,0,9.6
14-Oct-24,31.6,19,0,10.9
15-Oct-24,32.3,19,0,9.8
16-Oct-24,32.8,18.3,0,8.7
17-Oct-24,32.8,19.1,0,9
18-Oct-24,32.8,19.1,0,8.5
19-Oct-24,31.8,19.7,0,8.9
20-Oct-24,31.7,19.3,0,8.6
21-Oct-24,31.1,19.3,0,9.4
22-Oct-24,31.1,19.3,0,8.1
23-Oct-24,31.7,19.2,0,17.1
24-Oct-24,31.3,18.7,0,12
25-Oct-24,31.1,17.6,0,11.1
26-Oct-24,30.9,17,0,9.9
27-Oct-24,31.5,17.1,0,9
28-Oct-24,31.4,19.1,0,8.5
29-Oct-24,31.7,19.8,0,9.9
30-Oct-24,31.9,20.2,0,9.4
31-Oct-24,30.9,18.9,0,12.6
01-Nov-24,29.9,15.7,0,8.5
02-Nov-24,30.1,15,0,8.2
03-Nov-24,29.9,15.9,0,10.3
04-Nov-24,29.6,16.7,0,9.7
05-Nov-24,29.3,16.9,0,9.7
06-Nov-24,29.1,16.7,0,7.7
07-Nov-24,29,17,0,7.9
08-Nov-24,28.8,17.3,0,7.9
09-Nov-24,28.3,16.8,0,7.6
10-Nov-24,28.4,16.9,0,8
11-Nov-24,28.8,17.1,1,14.8
12-Nov-24,27,16.2,0,11
13-Nov-24,26.7,16.6,0,5.7
14-Nov-24,26.8,16,0,6.5
15-Nov-24,26.3,14.7,0,10.3
16-Nov-24,24.5,14.3,0,17.4
17-Nov-24,24.1,13.2,0,7.9
18-Nov-24,24.3,12.7,0,6.4
19-Nov-24,24,11.8,0,7.9
20-Nov-24,23.9,11.2,0,7.7
21-Nov-24,24,11.4,0,7.7
22-Nov-24,24.5,11.4,0,7.6
